timestamp, ref_x, ref_y, ref_z, ref_vel_x, ref_vel_y, ref_vel_z, ref_acc_x, ref_acc_y, ref_acc_z, ref_quat_x, ref_quat_y, ref_quat_z, ref_quat_w
1741942372.601134491, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.603130420, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.605130866, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.607130676, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.609130874, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.611876820, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.613132096, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.615131526, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.617131932, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.619131287, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.621131744, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.623131688, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.625131386, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.627131313, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.629131484, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.631131302, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.633133008, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 5.74027e-16, 2.40338e-16, -1.37961e-31, 1
1741942372.635137880, 3.2929e-06, -1.20619e-05, 4.17448e-06, 0.000196965, -0.000721638, 0.000249878, 0.00782991, -0.0286995, 0.00994792, 0.000541072, 0.000147618, -7.9872e-08, 1
