timestamp, x, y, z, vel_x, vel_y, vel_z, acc_x, acc_y, acc_z, orientation_x, orientation_y, orientation_z, orientation_w, ang_vel_x, ang_vel_y, ang_vel_z
1741942372.593144503, 3.97214e-26, -9.48711e-26, -0.40963, 7.94428e-23, -1.89742e-22, -2.63165, -2.06165e-48, -1.17607e-47, -2.50174, 0, 0, 0, 1, 3.77747e-17, 1.58158e-17, -1.56542e-53
1741942372.595165266, 4.42794e-25, -1.05758e-24, -0.414898, 4.86286e-22, -1.16145e-21, -2.63626, -7.72482e-47, -4.40663e-46, -2.30442, 0, 0, 0, 1, 1.12946e-16, 4.72893e-17, -4.17223e-53
1741942372.597162111, 2.03929e-24, -4.87065e-24, -0.420175, 1.48422e-21, -3.54494e-21, -2.64048, -7.19621e-46, -4.10509e-45, -2.111, 0, 0, 0, 1, 2.25141e-16, 9.42639e-17, 1.60465e-51
1741942372.599169067, 6.19654e-24, -1.47999e-23, -0.42546, 3.35175e-21, -8.00535e-21, -2.64433, -3.66984e-45, -2.09346e-44, -1.9214, 0, 0, 0, 1, 3.73988e-16, 1.56585e-16, 1.77121e-51
1741942372.601146918, 1.48482e-23, -3.54635e-23, -0.430752, 6.38123e-21, -1.5241e-20, -2.6478, -1.33019e-44, -7.58807e-44, -1.73554, 0, 0, 0, 1, 5.59122e-16, 2.34098e-16, -3.26444e-51
1741942372.603162152, 3.04774e-23, -7.27925e-23, -0.436051, 1.07903e-20, -2.57717e-20, -2.6509, -3.80342e-44, -2.16966e-43, -1.55335, 0, 0, 0, 1, 7.43145e-16, 3.11146e-16, -1.10273e-50
1741942372.605143705, 5.58741e-23, -1.3345e-22, -0.441355, 1.66251e-20, -3.97076e-20, -2.65365, -9.02887e-44, -5.15053e-43, -1.37475, 0, 0, 0, 1, 9.26068e-16, 3.87734e-16, -2.43539e-50
1741942372.607164320, 9.39192e-23, -2.24318e-22, -0.446665, 2.39296e-20, -5.71536e-20, -2.65605, -1.87057e-43, -1.06707e-42, -1.19967, 0, 0, 0, 1, 1.1079e-15, 4.63866e-16, -4.56404e-50
1741942372.609143883, 1.4758e-22, -3.52482e-22, -0.451979, 3.27457e-20, -7.82102e-20, -2.65811, -3.50279e-43, -1.99817e-42, -1.02804, 0, 0, 0, 1, 1.28866e-15, 5.39547e-16, -3.98882e-50
1741942372.611919667, 2.19907e-22, -5.25228e-22, -0.457297, 4.31137e-20, -1.02973e-19, -2.65983, -6.07205e-43, -3.46381e-42, -0.859798, 0, 0, 0, 1, 1.46835e-15, 6.14781e-16, -9.30646e-50
1741942372.613146203, 3.14028e-22, -7.50029e-22, -0.462618, 5.50718e-20, -1.31534e-19, -2.66121, -9.90749e-43, -5.65174e-42, -0.694866, 0, 0, 0, 1, 1.64698e-15, 6.89573e-16, -1.89018e-49
1741942372.615164302, 4.3315e-22, -1.03454e-21, -0.467941, 6.86565e-20, -1.6398e-19, -2.66228, -1.53982e-42, -8.78389e-42, -0.533181, 0, 0, 0, 1, 1.82457e-15, 7.63927e-16, -2.92574e-49
1741942372.617144795, 5.80548e-22, -1.38659e-21, -0.473267, 8.39027e-20, -2.00394e-19, -2.66303, -2.29962e-42, -1.31182e-41, -0.374678, 0, 0, 0, 1, 2.00113e-15, 8.37848e-16, -2.2424e-49
1741942372.619144298, 7.59567e-22, -1.81416e-21, -0.478593, 1.00843e-19, -2.40855e-19, -2.66347, -3.322e-42, -1.89504e-41, -0.219294, 0, 0, 0, 1, 2.17665e-15, 9.1134e-16, -2.43193e-49
1741942372.621144805, 9.73617e-22, -2.3254e-21, -0.48392, 1.1951e-19, -2.85439e-19, -2.6636, -4.66567e-42, -2.66154e-41, -0.0669665, 0, 0, 0, 1, 2.35117e-15, 9.84407e-16, -2.67577e-49
1741942372.623146249, 1.22617e-21, -2.9286e-21, -0.489247, 1.39933e-19, -3.34217e-19, -2.66344, -6.39653e-42, -3.64891e-41, 0.0823663, 0, 0, 0, 1, 2.52468e-15, 1.05705e-15, -3.18174e-49
1741942372.625143803, 1.52076e-21, -3.6322e-21, -0.494574, 1.6214e-19, -3.87258e-19, -2.66298, -8.58788e-42, -4.89897e-41, 0.228764, 0, 0, 0, 1, 2.69719e-15, 1.12928e-15, -1.70196e-49
1741942372.627144334, 1.86097e-21, -4.44476e-21, -0.499899, 1.86159e-19, -4.44624e-19, -2.66224, -1.13207e-41, -6.4579e-41, 0.372285, 0, 0, 0, 1, 2.86872e-15, 1.2011e-15, -2.7204e-49
1741942372.629144352, 2.25044e-21, -5.37498e-21, -0.505222, 2.12015e-19, -5.06379e-19, -2.66121, -1.46838e-41, -8.37639e-41, 0.512987, 0, 0, 0, 1, 3.03928e-15, 1.27251e-15, -2.41699e-49
1741942372.631144423, 2.69286e-21, -6.43167e-21, -0.510544, 2.39733e-19, -5.72581e-19, -2.65991, -1.87741e-41, -1.07097e-40, 0.650927, 0, 0, 0, 1, 3.20887e-15, 1.34352e-15, -5.14617e-50
