time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, r_thr, r_psi
1744895330.591890812, 4.76439496e-09, -1.12174017e-08, -0.682876983, 9.30964813e-07, -2.19469844e-06, -3.61799364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.593886375, 6.9404095e-09, -1.6349271e-08, -0.690123308, 1.25409902e-06, -2.9587177e-06, -3.62833244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.595886230, 9.83650869e-09, -2.31847927e-08, -0.697389821, 1.65225953e-06, -3.90129295e-06, -3.6381812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.597886086, 1.36125701e-08, -3.21049005e-08, -0.704675551, 2.13532039e-06, -5.04638357e-06, -3.64754959, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.599912643, 1.84486015e-08, -4.35395064e-08, -0.711979547, 2.713533e-06, -6.41900021e-06, -3.65644712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.601886988, 2.45454576e-08, -5.79695336e-08, -0.719300876, 3.39748949e-06, -8.04513752e-06, -3.66488306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.603889704, 3.21254879e-08, -7.59288234e-08, -0.726638625, 4.1980884e-06, -9.95171295e-06, -3.67286652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.605903149, 4.14331157e-08, -9.80059221e-08, -0.733991898, 5.12650156e-06, -1.21665083e-05, -3.68040643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.607891798, 5.27353519e-08, -1.24845751e-07, -0.741359815, 6.19414021e-06, -1.47181096e-05, -3.68751152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.609893799, 6.63222354e-08, -1.57151147e-07, -0.748741517, 7.41261675e-06, -1.76358372e-05, -3.69419037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
