time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, ndob_f.x, ndob_f.y, ndob_f.z, r_thr, r_psi
1780350225.732438326, -3.99709373, 3.99367158, 0.00887619689, 0.0356454655, -0.0834349272, 0.0936429798, 0.225683445, -0.638143157, 0.535328657, -0.00145965667, -0.0641454823, -1.53392176, 0.0552546785, 0.0348791363, -0.222594875, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0110336086, 0.0105186419, -0.339011271, -0.000637415033, -0.000605241591, 0.00531557442, 0, 0, 0, 0.000736270305, -0.00284489627, -0.0519006005, 4.65431946, -0.339011271
1780350225.734440804, -3.99702199, 3.99350343, 0.00906455292, 0.0360955113, -0.0847107905, 0.0947129422, 0.224360212, -0.637708218, 0.534883067, -0.00845923551, -0.0680561072, -1.534705, 0.0551375236, 0.0349164227, -0.225668017, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0110336086, 0.0105186419, -0.339011271, -0.000333124694, -0.000694248325, 0.0130625426, 0, 0, 0, 0.000736270305, -0.00284489627, -0.0519006005, 4.65431946, -0.339011271
1780350225.736463070, -3.99694935, 3.99333274, 0.00925504801, 0.0365428664, -0.0859856222, 0.0957820389, 0.222992935, -0.637111516, 0.534457981, -0.015371572, -0.0719075309, -1.53523957, 0.0550062901, 0.0349456524, -0.228742941, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0105467558, 0.0104923965, -0.339011271, -0.0027036952, -0.000786280234, 0.0131343631, 0, 0, 0, 0.000611915213, -0.00264728867, -0.0492889364, 4.63682306, -0.339011271
1780350225.738498449, -3.99687582, 3.99315949, 0.00944767948, 0.0369874196, -0.0872590292, 0.0968491504, 0.221566782, -0.636307265, 0.533280931, -0.0222220369, -0.0757065261, -1.53534365, 0.0548611985, 0.0349668544, -0.231818931, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0105467558, 0.0104923965, -0.339011271, -0.000196849818, -0.000615367542, 0.0132032194, 0, 0, 0, 0.000611915213, -0.00264728867, -0.0492889364, 4.63682306, -0.339011271
1780350225.740802526, -3.9968014, 3.9929837, 0.00964244286, 0.0374290806, -0.0885306696, 0.0979139554, 0.220100795, -0.635344112, 0.532139075, -0.0290853879, -0.07945541, -1.53502354, 0.0547023128, 0.0349800395, -0.234895122, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0105467558, 0.0104923965, -0.339011271, -0.000124773152, -0.000575602046, 0.0132679013, 0, 0, 0, 0.000611915213, -0.00264728867, -0.0492889364, 4.63682306, -0.339011271
1780350225.743060112, -3.99672611, 3.99280537, 0.00983933361, 0.0378677717, -0.0898002264, 0.0989765234, 0.218596759, -0.634223251, 0.531031749, -0.035839708, -0.0831461129, -1.53428549, 0.0545298035, 0.0349852287, -0.237970664, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0105467558, 0.0104923965, -0.339011271, -5.27623007e-05, -0.000535742385, 0.0133282975, 0, 0, 0, 0.000611915213, -0.00264728867, -0.0492889364, 4.63682306, -0.339011271
1780350225.744550228, -3.99664994, 3.9926245, 0.0100383473, 0.0383034183, -0.0910673864, 0.100036923, 0.21705627, -0.632946958, 0.529958229, -0.0424825076, -0.0867772082, -1.53313579, 0.0543439452, 0.0349824532, -0.24104472, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0105467558, 0.0104923965, -0.339011271, 1.82565226e-05, -0.000495861892, 0.0133844486, 0, 0, 0, 0.000611915213, -0.00264728867, -0.0492889364, 4.63682306, -0.339011271
1780350225.746504068, -3.9965729, 3.9924411, 0.0102394797, 0.0387359492, -0.0923318412, 0.10109522, 0.215480917, -0.631517573, 0.528917792, -0.0490113486, -0.0903473237, -1.53158072, 0.0541450165, 0.0349717491, -0.244116461, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0100544184, 0.010450162, -0.339011271, -0.00238337736, -0.000668008397, 0.0134363982, 0, 0, 0, 0.000485214278, -0.00242402604, -0.0466101341, 4.61908872, -0.339011271
1780350225.748512745, -3.99649499, 3.99225518, 0.0104427257, 0.0391652717, -0.0935932151, 0.102150304, 0.213856119, -0.629889609, 0.527127101, -0.0554637568, -0.0938585328, -1.52962658, 0.0539332805, 0.0349531556, -0.247185074, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0100544184, 0.010450162, -0.339011271, -0.00238337736, -0.000668008397, 0.0134363982, 0, 0, 0, 0.000485214278, -0.00242402604, -0.0466101341, 4.61908872, -0.339011271
1780350225.750558138, -3.99641624, 3.99206673, 0.0106480783, 0.0395913141, -0.094851185, 0.103201873, 0.21220057, -0.628112181, 0.525383754, -0.0619566316, -0.097320007, -1.52728006, 0.0537088055, 0.0349266994, -0.250249758, -3.99556365, 3.99161665, 0.0149779194, 0.0283766447, -0.0528630757, 0.0980851151, 0.0825986842, -0.145951206, 0.309273575, 0.0100544184, 0.010450162, -0.339011271, -0.000875364376, -0.000489814943, -0.00180586629, 0, 0, 0, 0.000485214278, -0.00242402604, -0.0466101341, 4.61908872, -0.339011271
