time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, ndob_f.x, ndob_f.y, ndob_f.z, r_thr, r_psi
1780348390.160198450, -1.9997958, 1.99959119, 0.00143483868, 0.00516883622, -0.0105396857, 0.0282596846, 0.0883304429, -0.187643687, 0.343419811, 0.15597092, 0.0756393212, -0.984735169, 0.0178317057, 0.0099572296, -0.0692547208, -1.99884595, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0177585023, 0.0110867523, -0.215575006, -0.00147941585, -0.000912359164, 0.00678115122, 0, 0, 0, -0.000415143696, 0.000783466142, -0.00528850102, 4.62315938, -0.215575006
1780348390.162199736, -1.99978528, 1.99956974, 0.00149204779, 0.00534683282, -0.0109182941, 0.0289499822, 0.0896518631, -0.190937404, 0.345696703, 0.1542697, 0.0746344405, -0.994853234, 0.0181220873, 0.0101430717, -0.0712314406, -1.99884595, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0177585023, 0.0110867523, -0.215575006, -0.00146614555, -0.000911097068, 0.00692583115, 0, 0, 0, -0.000415143696, 0.000783466142, -0.00528850102, 4.62315938, -0.215575006
1780348390.164198399, -1.99977441, 1.99954752, 0.00155064198, 0.00552744777, -0.0113034566, 0.0296447628, 0.0909487123, -0.194197723, 0.347926418, 0.1525104, 0.0735853256, -1.00454881, 0.0184084392, 0.0103277919, -0.0732279589, -1.99884595, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0177585023, 0.0110867523, -0.215575006, -0.00145204962, -0.000909444885, 0.00706666673, 0, 0, 0, -0.000415143696, 0.000783466142, -0.00528850102, 4.62315938, -0.215575006
1780348390.166202068, -1.99976317, 1.99952452, 0.00161063014, 0.00571063115, -0.0116951053, 0.0303439337, 0.0922202466, -0.197423308, 0.350109961, 0.150694867, 0.0724932755, -1.01382575, 0.018690651, 0.0105112905, -0.0752434379, -1.99884595, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0175835957, 0.011227632, -0.215575006, -0.00143730833, -0.000907267577, 0.00720368188, 0, 0, 0, -0.000452734636, 0.000848199284, -0.00566087324, 4.61512874, -0.215575006
1780348390.168198347, -1.99975156, 1.99950073, 0.00167202087, 0.00589633, -0.0120931656, 0.0310472254, 0.0934641171, -0.200609337, 0.352069902, 0.148824954, 0.0713595954, -1.02268795, 0.0189686164, 0.0106934696, -0.0772770477, -1.997975, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0175835957, 0.011227632, -0.215575006, -0.0022999721, -0.000197355041, 0.00733689867, 0, 0, 0, -0.000452734636, 0.000848199284, -0.00566087324, 4.61512874, -0.258999934
1780348390.170199633, -1.99973958, 1.99947614, 0.00173482168, 0.00608448684, -0.0124975536, 0.031754021, 0.0946799556, -0.20375415, 0.353812552, 0.146860204, 0.0702197396, -1.03113938, 0.0192421982, 0.0108742613, -0.0793279657, -1.997975, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0175835957, 0.011227632, -0.215575006, -0.00140943061, -0.00089857219, 0.00746633919, 0, 0, 0, -0.000452734636, 0.000848199284, -0.00566087324, 4.61512874, -0.258999934
1780348390.172197342, -1.99972722, 1.99945074, 0.00179903954, 0.00627504895, -0.0129081918, 0.0324642474, 0.0958693961, -0.206859364, 0.355518947, 0.144831533, 0.0690517409, -1.039184, 0.0195112291, 0.0110536271, -0.0813953765, -1.997975, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0175835957, 0.011227632, -0.215575006, -0.00139248189, -0.000895168882, 0.00759202171, 0, 0, 0, -0.000452734636, 0.000848199284, -0.00566087324, 4.61512874, -0.258999934
1780348390.174196720, -1.99971448, 1.9994245, 0.00186468121, 0.00646796304, -0.0133249996, 0.0331778333, 0.0970318968, -0.209923745, 0.357189883, 0.142755059, 0.0678454522, -1.04682586, 0.0197756106, 0.0112314783, -0.0834784742, -1.997975, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0175835957, 0.011227632, -0.215575006, -0.00137479498, -0.000891403506, 0.00771397271, 0, 0, 0, -0.000452734636, 0.000848199284, -0.00566087324, 4.61512874, -0.258999934
1780348390.176198006, -1.99970135, 1.99939743, 0.00193175335, 0.00666317464, -0.0137478943, 0.033894709, 0.0981668877, -0.212946157, 0.358826139, 0.140632658, 0.0666021875, -1.05406903, 0.0200352556, 0.0114077224, -0.0855764605, -1.997975, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0169798964, 0.0112420246, -0.258999934, -0.00135656819, -0.000887139162, 0.00783221921, 0, 0, 0, -0.000488693361, 0.000907458873, -0.00602113964, 4.64961383, -0.258999934
1780348390.178200006, -1.99968783, 1.99936951, 0.00200026285, 0.00686063566, -0.0141768071, 0.0346155722, 0.0992813112, -0.215941768, 0.361194606, 0.13846621, 0.0653232619, -1.06091762, 0.0202900816, 0.0115822683, -0.0876885459, -1.997975, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0169798964, 0.0112420246, -0.258999934, -0.00436839202, -0.000810131761, -0.210046352, 0, 0, 0, -0.000488693361, 0.000907458873, -0.00602113964, 4.64961383, -0.258999934
