time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, ndob_f.x, ndob_f.y, ndob_f.z, r_thr, r_psi
1780350225.646787405, 2.00030912, 1.99937932, 0.00185124789, 0.00687104784, -0.014051281, 0.0326782844, 0.101104208, -0.215412845, 0.358249241, 0.138341143, 0.0662692945, -0.923788038, 0.0204122147, 0.0114376356, -0.0718439365, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0170236779, 0.0108003726, -0.215575006, -0.00163071315, -6.04155435e-06, 0.00172314194, 0, 0, 0, 0.000723408833, -0.0015721661, -0.0277558415, 4.63450355, -0.215575006
1780350225.648710728, 2.00033019, 1.99933619, 0.00195090438, 0.00717697795, -0.0147041707, 0.0337609944, 0.10282382, -0.219797956, 0.362102784, 0.134697068, 0.0642214329, -0.93965691, 0.0207895244, 0.0116909042, -0.0746347998, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0170236779, 0.0108003726, -0.215575006, -0.0013373111, -0.000862638644, 0.0064389521, 0, 0, 0, 0.000723408833, -0.0015721661, -0.0277558415, 4.63450355, -0.215575006
1780350225.650714874, 2.00033742, 1.99932137, 0.00198484704, 0.00728008764, -0.0149247009, 0.034124317, 0.103381822, -0.221233737, 0.363304182, 0.133459506, 0.0635367507, -0.944775366, 0.0209125655, 0.0117744143, -0.075575544, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0170236779, 0.0108003726, -0.215575006, -0.00131504896, -0.000856866831, 0.00658158058, 0, 0, 0, 0.000723408833, -0.0015721661, -0.0277558415, 4.63450355, -0.215575006
1780350225.652711391, 2.00035973, 1.9992756, 0.00208886324, 0.00759271294, -0.015594818, 0.0352213708, 0.105011489, -0.22546533, 0.366835252, 0.129694629, 0.0614364553, -0.959512739, 0.0212733757, 0.0120221022, -0.0784277938, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0170236779, 0.0108003726, -0.215575006, -0.00129228348, -0.000850837635, 0.00672094044, 0, 0, 0, 0.000723408833, -0.0015721661, -0.0277558415, 4.63450355, -0.215575006
1780350225.654711485, 2.00037512, 1.99924395, 0.00216004257, 0.00780380215, -0.0160485405, 0.0359585251, 0.106060435, -0.228222183, 0.369129677, 0.127143833, 0.0599993943, -0.968826692, 0.0215069132, 0.0121847604, -0.0803532864, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0170236779, 0.0108003726, -0.215575006, -0.00126909665, -0.000844372597, 0.00685658918, 0, 0, 0, 0.000723408833, -0.0015721661, -0.0277558415, 4.63450355, -0.215575006
1780350225.656714916, 2.00039094, 1.9992114, 0.00223270074, 0.00801695872, -0.0165077242, 0.036700198, 0.107078909, -0.230926704, 0.371377609, 0.12456257, 0.0585343512, -0.977736305, 0.0217347833, 0.0123453552, -0.0822970281, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0168010602, 0.0109194221, -0.215575006, -0.00236305079, -0.00023985034, 0.00698854732, 0, 0, 0, 0.000744584793, -0.001648739, -0.028313304, 4.62619759, -0.215575006
1780350225.658716917, 2.00040719, 1.99917792, 0.00230684623, 0.00823211566, -0.016972251, 0.0374457465, 0.10806293, -0.233569247, 0.373212874, 0.121898899, 0.0570714873, -0.986245361, 0.0219568903, 0.0125038355, -0.0842582169, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0168010602, 0.0109194221, -0.215575006, -0.00122595082, -0.000827806892, 0.00711683539, 0, 0, 0, 0.000744584793, -0.001648739, -0.028313304, 4.62619759, -0.215575006
1780350225.660712719, 2.00042387, 1.99914351, 0.00238248645, 0.00844921023, -0.0174420076, 0.0381949092, 0.109016634, -0.236156615, 0.375010979, 0.11919169, 0.0555924461, -0.994357684, 0.022173099, 0.0126601759, -0.0862360578, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0168010602, 0.0109194221, -0.215575006, -0.00120113164, -0.000820342688, 0.00724147028, 0, 0, 0, 0.000744584793, -0.001648739, -0.028313304, 4.62619759, -0.215575006
1780350225.662712812, 2.00044099, 1.99910815, 0.00245962854, 0.00866818157, -0.0179168829, 0.038947613, 0.109939771, -0.238688044, 0.376772748, 0.116460989, 0.0540888266, -1.00207714, 0.0223833604, 0.0128143085, -0.0882297642, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0168010602, 0.0109194221, -0.215575006, -0.00117575705, -0.000812589143, 0.00736247681, 0, 0, 0, 0.000744584793, -0.001648739, -0.028313304, 4.62619759, -0.215575006
1780350225.664713621, 2.00045855, 1.99907183, 0.00253827951, 0.00888896827, -0.0183967644, 0.0397037866, 0.110832069, -0.241162897, 0.378498988, 0.113708703, 0.0525619026, -1.00940763, 0.0225876392, 0.0129661627, -0.0902385577, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0168010602, 0.0109194221, -0.215575006, -0.00115007503, -0.00080443273, 0.00747988034, 0, 0, 0, 0.000744584793, -0.001648739, -0.028313304, 4.62619759, -0.215575006
1780350225.666713715, 2.00047655, 1.99903456, 0.00261844624, 0.00911150841, -0.0188815383, 0.0404633599, 0.111693284, -0.243580574, 0.38019049, 0.110936731, 0.0510129407, -1.0163531, 0.0227859041, 0.0131156698, -0.0922616672, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0165850369, 0.0110286893, -0.215575006, -0.00220854317, -0.000247359989, 0.00759370412, 0, 0, 0, 0.00074315157, -0.00167318477, -0.0287014269, 4.61734776, -0.215575006
1780350225.668715239, 2.00049499, 1.99899631, 0.00270013497, 0.00933573328, -0.0193710754, 0.0412256769, 0.112519149, -0.245930652, 0.381456816, 0.108094678, 0.0494696992, -1.02291753, 0.0229780846, 0.0132627849, -0.0942983294, 2.00115405, 1.99779069, 0.00381076789, 0.0150875822, -0.0287009663, 0.0503683183, 0.0945888158, -0.176210252, 0.326950384, 0.0165850369, 0.0110286893, -0.215575006, -0.00110214898, -0.000784780394, 0.00770397139, 0, 0, 0, 0.00074315157, -0.00167318477, -0.0287014269, 4.61734776, -0.215575006
1780350225.670711994, 2.00051389, 1.99895707, 0.00278335083, 0.00956157912, -0.019865253, 0.0419904877, 0.113314358, -0.248221233, 0.38269775, 0.105220269, 0.047915405, -1.02910494, 0.0231640719, 0.0134074869, -0.0963477881, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0165850369, 0.0110286893, -0.215575006, -0.00107518934, -0.000775707244, 0.00781070185, 0, 0, 0, 0.00074315157, -0.00167318477, -0.0287014269, 4.61734776, -0.258999934
1780350225.672713518, 2.00053324, 1.99891684, 0.00286809877, 0.00978898455, -0.0203639517, 0.0427577426, 0.114078808, -0.250451782, 0.383913881, 0.102332957, 0.0463424119, -1.03491938, 0.0233438408, 0.013549716, -0.0984092961, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0165850369, 0.0110286893, -0.215575006, -0.00104779331, -0.000766371579, 0.00791392281, 0, 0, 0, 0.00074315157, -0.00167318477, -0.0287014269, 4.61734776, -0.258999934
1780350225.674713135, 2.00055305, 1.99887561, 0.00295438361, 0.0100178879, -0.0208670509, 0.0435273927, 0.11481237, -0.252621884, 0.385105784, 0.0994345861, 0.0447519487, -1.04036491, 0.0235173792, 0.0136894103, -0.100482115, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0165850369, 0.0110286893, -0.215575006, -0.00102020167, -0.000756670665, 0.00801366204, 0, 0, 0, 0.00074315157, -0.00167318477, -0.0287014269, 4.61734776, -0.258999934
1780350225.676714420, 2.00057331, 1.99883337, 0.00304221011, 0.0102482273, -0.0213744294, 0.0442993903, 0.115514943, -0.254731164, 0.386274021, 0.0965269882, 0.0431452344, -1.04544567, 0.023684679, 0.0138265098, -0.102565512, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0159570914, 0.0110095419, -0.258999934, -0.00414472147, -0.000842733598, -0.209883193, 0, 0, 0, 0.000733636842, -0.00168099494, -0.0288827637, 4.65083999, -0.258999934
1780350225.678713560, 2.00059404, 1.99879011, 0.00313158476, 0.0104799661, -0.0218860202, 0.0450759135, 0.116203413, -0.256815276, 0.388899701, 0.0934601307, 0.0415185628, -1.05542223, 0.0238455484, 0.0139610566, -0.104663152, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0159570914, 0.0110095419, -0.258999934, -0.000976882971, -0.000736692097, 0.00733871182, 0, 0, 0, 0.000733636842, -0.00168099494, -0.0288827637, 4.65083999, -0.258999934
1780350225.680711985, 2.00061523, 1.99874582, 0.00322251765, 0.0107130505, -0.0224017136, 0.0458576093, 0.116860875, -0.25883392, 0.391473409, 0.0903402465, 0.0398757971, -1.06669898, 0.0239996142, 0.0140931939, -0.106782986, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0159570914, 0.0110095419, -0.258999934, -0.000946754147, -0.000727054259, 0.00747646335, 0, 0, 0, 0.000733636842, -0.00168099494, -0.0288827637, 4.65083999, -0.258999934
1780350225.682715893, 2.00063689, 1.9987005, 0.00331501901, 0.0109474187, -0.0229213779, 0.0466443752, 0.117487282, -0.260786624, 0.393996264, 0.0872202722, 0.0382196754, -1.07751245, 0.0241468488, 0.0142228842, -0.108924968, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0159570914, 0.0110095419, -0.258999934, -0.000915583343, -0.000717580511, 0.00763214403, 0, 0, 0, 0.000733636842, -0.00168099494, -0.0288827637, 4.65083999, -0.258999934
1780350225.684712172, 2.00065902, 1.99865414, 0.00340909889, 0.0111830083, -0.0234448811, 0.0474361113, 0.118082598, -0.262673216, 0.396469356, 0.0841020064, 0.0365513819, -1.08786701, 0.0242872667, 0.0143500714, -0.11108818, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0159570914, 0.0110095419, -0.258999934, -0.000884337355, -0.000707773148, 0.00778363797, 0, 0, 0, 0.000733636842, -0.00168099494, -0.0288827637, 4.65083999, -0.258999934
1780350225.686710119, 2.00068163, 1.99860672, 0.00350476712, 0.0114197572, -0.0239720909, 0.0482327196, 0.118646811, -0.26449356, 0.398893749, 0.0809872361, 0.034872082, -1.0977669, 0.0244208861, 0.0144747015, -0.113271709, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0157236671, 0.0111158988, -0.258999934, -0.00202482665, -0.000163728192, 0.00793097046, 0, 0, 0, 0.000717978706, -0.00167526672, -0.0286841604, 4.64072565, -0.258999934
1780350225.688710690, 2.0007047, 1.99855824, 0.0036020328, 0.0116575956, -0.0245028568, 0.0490334325, 0.119174994, -0.266235448, 0.400823402, 0.0778212341, 0.0332087298, -1.10721639, 0.0245476824, 0.0145967434, -0.115474654, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0157236671, 0.0111158988, -0.258999934, -0.000826324224, -0.00068508297, 0.00807416469, 0, 0, 0, 0.000717978706, -0.00167526672, -0.0286841604, 4.64072565, -0.258999934
1780350225.690714121, 2.00072826, 1.99850871, 0.00370090371, 0.01189646, -0.0250370386, 0.0498379471, 0.119673014, -0.267909676, 0.40271535, 0.0746444811, 0.0315449377, -1.11621983, 0.0246675889, 0.0147161892, -0.117696117, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0157236671, 0.0111158988, -0.258999934, -0.000794458049, -0.000674557976, 0.00821324025, 0, 0, 0, 0.000717978706, -0.00167526672, -0.0286841604, 4.64072565, -0.258999934
1780350225.692711592, 2.00075229, 1.99845809, 0.00380138739, 0.0121362901, -0.0255745007, 0.0506461893, 0.120140992, -0.269516166, 0.404570415, 0.0714777011, 0.0298731808, -1.12478159, 0.0247806287, 0.0148329931, -0.119935215, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0157236671, 0.0111158988, -0.258999934, -0.000762370014, -0.000663835284, 0.00834822484, 0, 0, 0, 0.000717978706, -0.00167526672, -0.0286841604, 4.64072565, -0.258999934
1780350225.694711685, 2.0007768, 1.9984064, 0.00390349122, 0.0123770261, -0.0261151077, 0.0514580865, 0.120579016, -0.271054968, 0.406389398, 0.0683225882, 0.0281945661, -1.1329061, 0.0248868384, 0.0149471073, -0.122191069, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.0157236671, 0.0111158988, -0.258999934, -0.000730318191, -0.000652814697, 0.00847914671, 0, 0, 0, 0.000717978706, -0.00167526672, -0.0286841604, 4.64072565, -0.258999934
1780350225.696713209, 2.0008018, 1.99835363, 0.00400722243, 0.0126186081, -0.0266587244, 0.0522735677, 0.120987197, -0.272526167, 0.408173084, 0.0651808091, 0.0265101855, -1.14059782, 0.0249862584, 0.0150584857, -0.124462811, 2.002025, 1.99613958, 0.00673541667, 0.0197171053, -0.0372593202, 0.0665685307, 0.0905921053, -0.166123904, 0.321058114, 0.015479929, 0.0112241599, -0.258999934, -0.0019218877, -9.80337917e-05, 0.00860603208, 0, 0, 0, 0.000694031442, -0.00164990504, -0.0285158949, 4.63024036, -0.258999934
